Value
0.000127
-0.000539
-0.000775
0.000334
0.000837
0.000859
0.000225
-0.000486
-0.000843
-0.000148
0.000835
0.000995
0.000538
-0.000404
-0.000725
-0.000480
0.000825
0.000991
0.000807
-0.000161
-0.000677
-0.000735
0.000486
0.000938
0.000884
0.000235
-0.000438
-0.000870
-0.000217
0.000910
0.000988
0.000753
-0.000180
-0.000673
-0.000724
0.000486
0.000936
0.000874
0.000054
-0.000519
-0.000809
0.000184
0.000996
0.000966
0.000460
-0.000410
-0.000829
-0.000534
0.000669
0.000943
0.000890
0.000116
-0.000504
-0.000857
-0.000035
0.000931
0.001020
0.000599
-0.000215
-0.000768
-0.000378
0.000759
0.000897
0.000622
-0.000201
-0.000716
-0.000525
0.000655
0.000946
0.000718
-0.000096
-0.000694
-0.000673
0.000609
0.000923
0.000867
0.000073
-0.000498
-0.000855
0.000074
0.000901
0.000957
0.000539
-0.000189
-0.000853
0.000106
0.001904
0.001297
0.000868
-0.000197
-0.000746
-0.000891
0.000285
0.000778
0.000946
0.000141
-0.000585
-0.000817
-0.000134
0.000972
0.000995
0.000643
-0.000203
-0.000649
-0.000677
0.000492
0.001039
0.000806
0.000077
-0.000569
-0.000842
0.000022
0.000832
0.000835
0.000355
-0.000562
-0.001274
-0.000680
0.000784
0.000971
0.000991
0.000291
-0.000355
-0.000743
0.000116
0.000867
0.000978
0.000449
-0.000405
-0.000757
-0.000393
0.000704
0.000894
0.000630
-0.000205
-0.000912
-0.000700
0.000507
0.000884
0.000781
-0.000091
-0.000578
-0.000677
0.000494
0.001042
0.000871
0.000161
-0.000530
-0.000860
-0.000014
0.000859
0.000871
0.000317
-0.000518
-0.000943
-0.000707
0.000694
0.000807
0.000809
0.000023
-0.000554
-0.000889
-0.000026
0.000966
0.000970
0.000513
-0.000337
-0.000753
-0.000545
0.000665
0.001022
0.000842
-0.000123
-0.000680
-0.000605
0.000666
0.000916
0.000826
-0.000042
-0.000697
-0.000747
0.000354
0.001023
0.000978
0.000280
-0.000402
-0.000769
0.000045
0.000897
0.000916
0.000380
-0.000366
-0.000807
-0.000180
0.000883
0.000979
0.000557
-0.000300
-0.000745
-0.000448
0.000745
0.000994
0.000775
-0.000157
-0.000658
-0.000739
0.000501
0.000989
0.000933
0.000343
-0.000486
-0.000837
-0.000154
0.000866
0.000922
0.000607
-0.000248
-0.000677
-0.000651
0.000510
0.000969
0.000859
0.000169
-0.000479
-0.000883
-0.000153
0.000848
0.000981
0.000593
-0.000304
-0.000773
-0.000466
0.000769
0.000936
0.000861
-0.000040
-0.000557
-0.000823
0.000161
0.000978
0.000922
0.000448
-0.000360
-0.000804
-0.000489
0.000772
0.000935
0.000821
-0.000084
-0.000618
-0.000740
0.000534
0.000962
0.000913
-0.000071
-0.000540
-0.001893
-0.000461
0.000918
0.000991
0.000372
-0.000410
-0.000641
-0.000111
0.000922
0.000992
0.000843
-0.000274
-0.000573
-0.000749
0.000474
0.000908
0.000911
0.000309
-0.000446
-0.000828
-0.000371
0.000869
0.001016
0.000822
-0.000056
-0.000540
-0.000465
0.000607
0.001054
0.000935
0.000281
-0.000165
-0.000635
0.000470
0.000984
0.000711
-0.000051
-0.000639
-0.000904
-0.000152
0.000952
0.000983
0.000700
-0.000266
